ID,latitude,longitude,district,address_offers,agent_offers,subway_offers,closest_subway,dist_to_subway,subway_grade,subway_dist_to_center,rooms,floor,max_floor,footage,material,repair,price,category_age
MAL8690,55.8216935,37.751714,VAO,1.0,12.0,,Rechnoy Vokzal,1303.0,Underground,10223.0,One Room,7.0,9.0,31.5,monolith,,7250000.0,Old buildings
MAL10989,55.770897,37.37809,ZAO,3.0,28.0,,Studencheskaya,2445.0,Underground,12992.0,Two Room,18.0,24.0,89.0,monolith,Good,16600000.0,Young buildings
MAL9730,55.781838,37.469925,SZAO,1.0,,,Slavyansky Bulvar,2247.0,Urban rail,7662.0,Two Room,23.0,30.0,,monolith,Poor,19300000.0,Young buildings
MAL9484,,37.73182420000001,UVAO,1.0,1.0,6.0,Khovrino,1349.0,Underground,13657.0,Two Room,,12.0,52.4,monolith,Good,8700000.0,Middle-aged buildings
MAL5579,55.631371,37.682233,UAO,1.0,2.0,7.0,,1092.0,Suburban rail,,Two Room,5.0,5.0,44.3,panel,Enough,8150000.0,Old buildings
MAL2008,55.81301379999999,37.78496129999999,VAO,1.0,1.0,18.0,Novokuznetskaya,897.0,Underground,13108.0,One Room,8.0,12.0,,monolith,Enough,7400000.0,Old buildings
MAL8630,55.812261,37.571138,SAO,1.0,2.0,9.0,Pyatnitskoye Shosse,771.0,Underground,6575.0,Two Room,,8.0,44.0,monolith,Enough,10000000.0,Old buildings
MAL7368,55.894838,37.58887100000001,SVAO,2.0,205.0,6.0,Komsomolskaya,490.0,Underground,16430.0,One Room,4.0,22.0,,panel,Enough,9000000.0,Middle-aged buildings
MAL10095,55.866985,37.6107,SVAO,1.0,1.0,13.0,Prazhskaya,463.0,Underground,12480.0,,7.0,12.0,,monolith,Enough,11200000.0,Old buildings
MAL2371,55.70074,37.9175113,,1.0,10.0,32.0,Dmitrievskaya,,Underground,20323.0,Two Room,16.0,17.0,55.3,panel,Good,9000000.0,Young buildings
MAL4281,55.67699399999999,37.717976,UVAO,1.0,1.0,,Krasnogvardeyskaya,,Suburban rail,,Two Room,,17.0,50.2,panel,Enough,10500000.0,Middle-aged buildings
MAL5302,,37.706973,UVAO,2.0,,7.0,Bulvar Rokossovskogo,710.0,Underground,6431.0,One Room,,23.0,37.2,monolith,Excellent,12499000.0,Young buildings
MAL9980,55.7305664,37.4634155,ZAO,2.0,,11.0,,420.0,Underground,9444.0,Two Room,18.0,24.0,,block,Good,15200000.0,Young buildings
MAL11292,,37.527238,SAO,4.0,24.0,,Trubnaya,,Underground,6623.0,One Room,5.0,24.0,46.6,monolith,Poor,18500000.0,Young buildings
MAL5061,55.86119300000001,37.4683704,SAO,1.0,14.0,8.0,Universitet,514.0,Underground,14800.0,Two Room,15.0,17.0,62.0,panel,,14300000.0,Middle-aged buildings
MAL1234,55.70452950000001,37.5810893,UZAO,1.0,1.0,9.0,Aleksandrovsky Sad,,Underground,5386.0,Two Room,5.0,13.0,43.0,brick,,11800000.0,Old buildings
MAL6917,55.642296,37.770807,UAO,1.0,6.0,8.0,Krasnoselskaya,1031.0,Underground,16216.0,One Room,8.0,14.0,41.0,panel,Enough,7900000.0,Middle-aged buildings
MAL3408,55.6722069,37.5087328,ZAO,1.0,14.0,,,548.0,Underground,10917.0,One Room,,25.0,42.2,monolith,Good,13600000.0,Middle-aged buildings
MAL2381,55.6996863,37.9253366,UVAO,1.0,19.0,36.0,Dmitrievskaya,402.0,Underground,20323.0,,2.0,17.0,64.0,panel,Good,10700000.0,Young buildings
MAL9332,55.77291,37.533894,SAO,1.0,1.0,,Sportivnaya,794.0,Underground,4919.0,Two Room,,5.0,45.2,brick,Enough,10900000.0,Old buildings
MAL10837,55.7017558,37.6624273,UAO,1.0,38.0,,Cherkizovskaya,,Underground,5804.0,Two Room,1.0,8.0,42.5,brick,Enough,9500000.0,Old buildings
MAL9182,55.7022484,37.6357569,UAO,2.0,1.0,6.0,Kuntsevskaya,900.0,Urban rail,6335.0,Two Room,5.0,24.0,63.2,monolith,Poor,14024000.0,Middle-aged buildings
MAL2514,55.70822800000001,37.9427739,UVAO,2.0,,38.0,Dmitrievskaya,,Underground,20323.0,One Room,14.0,14.0,31.3,panel,Enough,6297000.0,Young buildings
MAL4606,55.71159,37.746993,UVAO,1.0,1.0,6.0,Timiryazevskaya,1042.0,Underground,8722.0,Two Room,1.0,14.0,,block,Enough,9000000.0,Middle-aged buildings
MAL5865,55.608463,37.716614,UAO,1.0,1.0,,,188.0,Underground,17038.0,Two Room,,12.0,45.0,panel,Enough,8450000.0,Old buildings
MAL11083,55.860469,37.556181,SAO,1.0,,1.0,Mayakovskaya,681.0,,11934.0,Two Room,5.0,,51.0,panel,Enough,12700000.0,Young buildings
MAL3333,55.8833882,37.5233951,SAO,1.0,1.0,24.0,,2386.0,Underground,13417.0,Two Room,9.0,17.0,66.0,panel,Good,13900000.0,Middle-aged buildings
MAL7636,,37.621399,,1.0,5.0,7.0,Rostokino,392.0,Monorail,7775.0,Two Room,22.0,22.0,59.0,panel,Good,18200000.0,Middle-aged buildings
MAL11999,55.82849670000001,37.5260342,SAO,1.0,,8.0,,,Urban rail,11410.0,Two Room,3.0,5.0,57.0,brick,Enough,12000000.0,Old buildings
MAL9005,55.87811329999999,37.5149209,SAO,1.0,1.0,11.0,Ugreshskaya,2130.0,Underground,,Two Room,12.0,,,monolith,Poor,12190000.0,Young buildings
MAL1098,55.6464053,37.41038560000001,ZAO,1.0,1.0,14.0,Savyolovskaya,1244.0,Underground,18158.0,Two Room,7.0,14.0,,panel,Good,11000000.0,Middle-aged buildings
MAL10062,55.869656000000006,37.61001,,1.0,,8.0,Prazhskaya,673.0,Underground,12480.0,,1.0,9.0,52.3,panel,,8900000.0,Old buildings
MAL3420,,37.4941891,ZAO,2.0,,9.0,Rimskaya,781.0,Underground,10917.0,Two Room,12.0,16.0,51.6,monolith,Enough,15200000.0,Young buildings
MAL3942,55.828025,37.452031,SZAO,1.0,1.0,,Bittsevsky Park,1161.0,Underground,13631.0,,5.0,5.0,40.0,brick,,8000000.0,Old buildings
MAL11987,55.833687,37.529663,SAO,2.0,1.0,8.0,Kuntsevskaya,894.0,Urban rail,11410.0,,2.0,5.0,45.0,brick,Enough,9898000.0,Old buildings
